path,title,modified,purpose,version_or_milestone,currentness,duplicate_or_superseded,audience,value,recommended_action,explanation
AI_AGENT_START_HERE.md,AI Agent Start Here,2026-05-20 12:16,AI-agent entry point and reading order,"V6, V5, PG-3, 2026-05-20, 2026-05-18",Needs update,no obvious duplicate,AI-agent-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place.
AI_DIRECTIVE.md,AI Coding Directive — MediaPipeline RemuxEncode AIO V5,2026-05-20 12:16,AI coding directive and project rules,V5,Current,no obvious duplicate,AI-agent-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
DesktopApp/tauri_shell/README.md,MediaPipeline Tauri/WebView2 Shell,2026-05-20 12:16,README or setup/navigation document,"V6, V5, PG-3, PG-1, PG-2",Current,same filename as Docs/DesktopApp/docs/README.md; SmokeTests/README.md,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document. Duplicate/supersession signal: same filename as Docs/DesktopApp/docs/README.md; SmokeTests/README.md
Docs/architecture/DECISIONS_AND_HISTORY.md,Decisions And History,2026-05-20 12:16,"architecture, boundary, or design reference","V6, V5, V4, 2026-05-20",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/architecture/MODULE_MAP.md,Module Map,2026-05-20 12:16,"architecture, boundary, or design reference",not stated,Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/architecture/TAURI_BACKEND_LIFECYCLE_BOUNDARY.md,Tauri Backend Lifecycle Boundary,2026-05-20 12:16,"architecture, boundary, or design reference","V6, PG-3, 2026-05-19, 2026-05-20",Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
Docs/ARCHIVED_MD_INDEX.md,Archived Markdown Index,2026-05-20 12:16,documentation/reference note,2026-05-20,Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. Contains stale or missing active-doc path references: Docs/architecture/DEPLOYABILITY_CHECKLIST.md; Docs/architecture/TAURI_WEBVIEW_PARITY_MATRIX.md; Docs/DesktopApp/README_MediaPipelineRemuxEncodeAIO_DesktopApp.md; Docs/DesktopApp/docs/FEATURE_OUTLINE_AND_SOFTWARE_COMPARISON.md
Docs/CURRENT_PROJECT_STATE.md,Current Project State,2026-05-20 12:16,current architecture and state source,"V6, V5, V3, V4, PG-3",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place. Contains stale or missing active-doc path references: Docs/proposals/CODE_MANAGEMENT_CLEANUP_PLAN.md; Docs/ui/UI_IMPROVEMENT_CHECKLIST.md; Docs/RealMediaValidationRuns/real_media_validation_20260518_transition_followup_plan.md; Docs/DesktopApp/docs/FEATURE_OUTLINE_AND_SOFTWARE_COMPARISON.md
Docs/DOCS_INDEX.md,MediaPipelineRemuxEncodeAIO V6 Documentation Index,2026-05-20 12:16,documentation navigation index,"V6, V5, 2026-05-20",Needs update,no obvious duplicate,developer-facing,90,UPDATE,Canonical or high-value navigation/safety/current-state document. This pass found stale or missing-reference wording and updates it in place.
Docs/inventories/API_ROUTE_INVENTORY.md,API Route Inventory,2026-05-20 12:16,"inventory/reference map for code, routes, tests, or artifacts",2026-05-20,Current,no obvious duplicate,developer-facing,90,KEEP_AS_CANONICAL,Canonical or high-value navigation/safety/current-state document.
